rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
51	C30H22O10	[M + H]+	C30H22O10	0.9999999999999999	122.50697210380824	122.50697210380824	0.0	41	0.8757820974099847	3.050842258097993	3.2386014573047883	1.0138596284484913		543.12912	303.5709702326133	247_mz3_iin_sirius_276
52	C14H32N2O6S	[M + H]+	C14H32N2O6S	0.9999999999999999	121.82386354220131	121.82386354220131	0.0	38	0.7443840151336011	0.27589252135871906	4.0061746700476775	-50423.64760220362		357.20440	652.3441161168739	463_mz3_iin_sirius_505
53	C19H28O2	[M + H]+	C19H28O2	0.9999999999999999	121.52452781787774	121.52452781787774	0.0	35	0.8765093922556153	-0.8174340752830823	3.681532589186594	2.205376081053714		289.21684	720.8540153503418	547_mz3_iin_sirius_604
54	C20H28O2	[M + H]+	C20H28O2	0.9999999999999999	121.47061224416805	121.47061224416805	0.0	37	0.881050152071695	0.9391533428036194	4.3766661962819455	-59789.96757977683		301.21702	752.2889759459525	605_mz3_iin_sirius_674
55	C21H28O3	[M + H]+	C21H28O3	0.9999999999999999	121.3525139692523	121.3525139692523	0.0	34	0.7732155515567916	2.099268778211573	5.53328026983731	-54709.41641821762		329.21076	699.1871237754822	522_mz3_iin_sirius_575
56	C20H34O2	[M + Na]+	C20H34O2	0.9999999999999999	121.24739850438851	121.24739850438851	0.0	26	0.6302092192549759	5.603847115302746	5.902035240062386	6.066480634104178		329.24710	1082.3939895629883	1094_mz3_iin_sirius_1305
57	C20H26O2	[M + H]+	C20H26O2	0.9999999999999999	121.16231796196868	121.16231796196868	0.0	36	0.9163224800545485	2.6525373416080966	3.6059090760655645	-60192.831920176664		299.20134	645.3488973972596	455_mz3_iin_sirius_497
58	C20H32O2	[M - H4O2 + H]+	C20H28	0.9999999999999999	121.00940127453498	121.00940127453498	0.0	29	0.6603968938740292	2.636840447322454	4.158922007584204	-133792.639714509		269.22693	1059.4173493981361	1054_mz3_iin_sirius_1263
59	C20H24O2	[M + H]+	C20H24O2	0.9999999999999999	120.9855441888011	117.93526575967368	3.0502784291274136	29	0.7167294413057123	-0.4886841218605372	5.700268524272487	-121205.26801369312		297.18558	583.2539749145508	418_mz3_iin_sirius_460
60	C34H70N2O9	[M + Na]+	C34H70N2O9	0.9999999999999999	120.9352560172832	120.9352560172832	0.0	37	0.7554902140953782	4.885185722657913	6.536182267735688	5.365246220165223		673.50097	1284.1576294787228	1477_mz3_iin_sirius_1947
61	C19H28O	[M + H]+	C19H28O	0.9999999999999999	120.68987991436664	117.83799573628195	2.8518841780846955	25	0.6698637051993942	0.7553933835297382	5.079310244906539	1.2249089797470474		273.22163	1130.4130554199219	1161_mz3_iin_sirius_1376
62	C17H38N3O8	[M + Na]+	C17H38N3O8	0.9999999999999999	120.62221475944929	116.50042201945809	4.1217927399912115	36	0.657405110394443	1.1876986248519539	5.097866683272376	5.348335661870717		435.25744	297.08742678165436	235_mz3_iin_sirius_262
63	C30H46O2	[M + H]+	C30H46O2	0.9999999999999999	120.552604525577	120.552604525577	0.0	30	0.6529740721911541	2.8982591735796017	4.988077609868367	-40993.95658066434		439.35665	1001.9570159912109	953_mz3_iin_sirius_1127
64	C19H24O2	[M + H]+	C19H24O2	0.9999999999999999	119.95296730032439	119.95296730032439	0.0	39	0.8500613009046026	1.4517156542125358	3.996997695601765	-126312.77699554688		285.18369	786.1829566955566	643_mz3_iin_sirius_719
65	C17H22O3	[M + H]+	C17H22O3	0.9999999999999999	119.76326003978846	119.76326003978846	0.0	21	0.5974729241877259	1.9440913216491695	5.836023422690131	-65459.94677264449		275.16261	609.4639778137207	429_mz3_iin_sirius_471
66	C19H22O4	[M + H]+	C19H22O4	0.9999999999999999	119.60588502150605	119.60588502150605	0.0	47	0.9349858229759744	0.0183001821563697	2.4565845602012675	-57147.837534202605		315.15900	821.0239791870117	691_mz3_iin_sirius_798
67	C20H24O3	[M + H]+	C20H24O3	0.9999999999999999	119.54252868324505	119.54252868324505	0.0	40	0.8791402396053559	3.4961272977096716	4.293055896437346	-57506.64707156599		313.18043	833.0739784240723	707_mz3_iin_sirius_833
68	C19H24O2	[M + Na]+	C19H24O2	0.9999999999999999	119.38314032744749	119.38314032744749	0.0	40	0.8843166304362876	1.6031707659732524	3.722190031328033	1.9851925340010643		307.16746	788.2669830322266	645_mz3_iin_sirius_721
69	C15H30N3O3S	[M + Na]+	C15H30N3O3S	0.9999999999999999	119.09350398809181	119.09350398809181	0.0	41	0.7473136333109468	5.962759719267668	6.631238872970956	-3.885455150558599		355.18863	846.6764003131539	737_mz3_iin_sirius_880
70	C20H38N3O5	[M - H2O + H]+	C20H36N3O4	0.9999999999999999	118.74734387699986	118.74734387699986	0.0	37	0.6679825179754688	1.3052252639933306	7.091195599488123	-46985.40125918511		383.27986	959.5520210266113	890_mz3_iin_sirius_1056
71	C22H28O2	[M + H]+	C22H28O2	0.9999999999999999	118.32658957879525	118.32658957879525	0.0	28	0.7047926763597198	2.1514854607333986	4.829081079542382	0.36765350237871774		325.21633	1086.9459915161133	1098_mz3_iin_sirius_1309
